Log_file_entry,KB_index
"[Sat May 09 21:53:43.721633 2020] [:error] [pid 973] [client 127.0.0.1:49038] PHP Warning:  include(./config.php): failed to open stream: No such file or directory in /home/cs/students/u16186258/COS216/practical3/header.php on line 1, referer: https://wheatley.cs.up.ac.za/u16186258/COS216/",12
"[Sat May 09 21:53:43.721731 2020] [:error] [pid 973] [client 127.0.0.1:49038] PHP Warning:  include(): Failed opening './config.php' for inclusion (include_path='.:/usr/share/php7:/usr/share/php') in /home/cs/students/u16186258/COS216/practical3/header.php on line 1, referer: https://wheatley.cs.up.ac.za/u16186258/COS216/",13
"[Sat May 09 23:24:32.373373 2020] [:error] [pid 12297] [client 127.0.0.1:56776] PHP Notice:  Use of undefined constant console - assumed 'console' in /home/cs/students/u16186258/COS216/practical3/validate-signup.php on line 44, referer: https://wheatley.cs.up.ac.za/u16186258/COS216/practical3/signup.php",14
"[Sat May 09 23:30:00.470742 2020] [:error] [pid 12931] [client 127.0.0.1:57174] PHP Warning:  log() expects parameter 1 to be float, string given in /home/cs/students/u16186258/COS216/practical3/validate-signup.php on line 44, referer: https://wheatley.cs.up.ac.za/u16186258/COS216/practical3/signup.php",15
"[Mon Apr 16 11:32:04.149336 2018] [:error] [pid 14171] [client 127.0.0.1:32770] PHP Warning:  file_get_contents(accounts.txt): failed to open stream: No such file or directory in /home/cs/students/u17306192/pages/api.php on line 102, referer: http://wheatley.cs.up.ac.za/u17306192/pages/api.php",16
"[Mon Apr 15 07:31:16.004197 2019] [:error] [pid 22874] [client 127.0.0.1:37618] PHP Catchable fatal error:  Object of class Movie could not be converted to string in /home/cs/students/u17306192/api.php on line 46, referer: https://wheatley.cs.up.ac.za/u17306192/api/",17
[Mon Apr 15 10:15:38.012207 2019] [:error] [pid 5580] [client 127.0.0.1:43342] PHP Notice:  A session had already been started - ignoring session_start() in /home/cs/students/u17306192/a3/index.php on line 3,18
"[Mon May 25 09:17:02.514822 2020] [:error] [pid 29341] [client 127.0.0.1:44896] PHP Warning:  Missing argument 2 for Database::getUserByEmail(), called in /home/cs/students/uXXXXXXXX/COS216/Practical 4/includes/models/Database.php on line 80 and defined in /home/cs/students/uXXXXXXXX/COS216/Practical 4/includes/models/Database.php on line 58, referer: https://wheatley.cs.up.ac.za/uXXXXXXXX/COS216/Practical%204/includes/views/sign-up.php",19
"[Mon May 25 09:31:32.088322 2020] [http:error] [pid 31498] [client 127.0.0.1:47352] AH02429: Response header name 'Location ' contains invalid characters, aborting request, referer: https://wheatley.cs.up.ac.za/uXXXXXXXX/",20
"[Mon May 11 09:35:03.300337 2020] [:error] [pid 4727] [client 127.0.0.1:51598] PHP Warning:  password_hash() expects parameter 2 to be integer, string given in /home/cs/students/u19050993/signup.php on line 40, referer: https://wheatley.cs.up.ac.za/u19050993/signup.php",21
"[Sun Jun 07 14:17:28.612719 2020] [:error] [pid 13021] [client 127.0.0.1:57718] PHP Notice:  Trying to get property of non-object in /home/cs/students/u16103948/COS216/Homework/COS216_HA_2020/HA/api/api.php on line 77, referer: http://wheatley.cs.up.ac.za/u16103948/COS216/Homework/COS216_HA_2020/HA/api/pref.php",22
"[Mon Mar 16 00:09:07.007664 2020] [auth_basic:error] [pid 9725] [client 127.0.0.1:40450] AH01617: user u16103948: authentication failure for ""/"": Password Mismatch",1
"[Fri May 08 14:29:06.229566 2020] [auth_basic:error] [pid 24782] [client 127.0.0.1:52974] AH01617: user u16103948: authentication failure for ""/"": Password Mismatch",1
[Sat May 02 05:27:20.054235 2020] [:error] [pid 7674] [client 127.0.0.1:33504] script '/home/cs/students/u19050993/index.php' not found or unable to stat,10
[Sun Apr 14 10:59:53.720850 2019] [:error] [pid 27764] [client 127.0.0.1:36696] script '/home/cs/students/u18090789/index.php' not found or unable to stat,10
"[Wed Apr 10 16:28:01.467138 2019] [:error] [pid 14295] [client 127.0.0.1:40106] PHP Notice:  Undefined index: game in /home/cs/students/u18090789/submit/Reg.php on line 9, referer: https://wheatley.cs.up.ac.za/u18090789/submit/",9
"[Wed Apr 10 16:28:01.467090 2019] [:error] [pid 14295] [client 127.0.0.1:40106] PHP Notice:  Undefined index: add in /home/cs/students/u18090789/submit/Reg.php on line 7, referer: https://wheatley.cs.up.ac.za/u18090789/submit/",9
"[Wed Apr 10 16:28:01.467064 2019] [:error] [pid 14295] [client 127.0.0.1:40106] PHP Notice:  Undefined index: sname in /home/cs/students/u18090789/submit/Reg.php on line 4, referer: https://wheatley.cs.up.ac.za/u18090789/submit/",9
[Thu Apr 11 15:18:23.327602 2019] [:error] [pid 1734] [client 127.0.0.1:51582] script '/home/cs/students/uXXXXXXXX/index.php' not found or unable to stat,10
"[Mon May 25 09:19:18.201274 2020] [:error] [pid 29897] [client 127.0.0.1:45658] PHP Fatal error:  Uncaught Error: Call to undefined function successful() in /home/cs/students/uXXXXXXXX/COS216/Practical 4/includes/models/login.php:32\nStack trace:\n#0 /home/cs/students/uXXXXXXXX/COS216/Practical 4/includes/controllers/loginController.php(13): LogIn::verifyDetails('w@gmail.com', 'ced5402a3185732...')\n#1 /home/cs/students/uXXXXXXXX/COS216/Practical 4/includes/controllers/loginController.php(22): LoginController::login()\n#2 {main}\n  thrown in /home/cs/students/uXXXXXXXX/COS216/Practical 4/includes/models/login.php on line 32, referer: https://wheatley.cs.up.ac.za/uXXXXXXXX/index.php",11
"[Sat May 16 15:52:27.315046 2020] [:error] [pid 30684] [client 127.0.0.1:39584] PHP Notice:  Use of undefined constant PASSWORD_ARGON2ID - assumed 'PASSWORD_ARGON2ID' in /home/cs/students/u19050993/signup.php on line 40, referer: https://wheatley.cs.up.ac.za/u19050993/signup.php",14
"[Sat May 16 15:52:27.315137 2020] [:error] [pid 30684] [client 127.0.0.1:39584] PHP Warning:  password_hash() expects parameter 2 to be integer, string given in /home/cs/students/u19050993/signup.php on line 40, referer: https://wheatley.cs.up.ac.za/u19050993/signup.php",21
"[Tue May 19 01:18:08.060121 2020] [:error] [pid 24962] [client 127.0.0.1:50612] PHP Parse error:  syntax error, unexpected '$returns' (T_VARIABLE), expecting function (T_FUNCTION) in /home/cs/students/u19050993/api.php on line 17, referer: https://wheatley.cs.up.ac.za/api/",3
"[Sat May 16 15:52:27.316745 2020] [:error] [pid 30684] [client 127.0.0.1:39584] PHP Fatal error:  Uncaught Error: Call to a member function query() on null in /home/cs/students/u19050993/signup.php:45\nStack trace:\n#0 /home/cs/students/u19050993/signup.php(30): signup_validation()\n#1 {main}\n  thrown in /home/cs/students/u19050993/signup.php on line 45, referer: https://wheatley.cs.up.ac.za/u19050993/signup.php",11
"[Mon May 25 09:19:26.151910 2020] [:error] [pid 29901] [client 127.0.0.1:45668] PHP Fatal error:  Uncaught Error: Call to undefined function successful() in /home/cs/students/uXXXXXXXX/COS216/Practical 4/includes/models/login.php:32\nStack trace:\n#0 /home/cs/students/uXXXXXXXX/COS216/Practical 4/includes/controllers/loginController.php(13): LogIn::verifyDetails('w@gmail.com', 'ced5402a3185732...')\n#1 /home/cs/students/uXXXXXXXX/COS216/Practical 4/includes/controllers/loginController.php(22): LoginController::login()\n#2 {main}\n  thrown in /home/cs/students/uXXXXXXXX/COS216/Practical 4/includes/models/login.php on line 32, referer: https://wheatley.cs.up.ac.za/uXXXXXXXX/index.php",11
"[Mon May 25 09:17:02.540110 2020] [:error] [pid 29341] [client 127.0.0.1:44896] PHP Warning:  Missing argument 2 for Database::getUserByUsername(), called in /home/cs/students/uXXXXXXXX/COS216/Practical 4/includes/models/Database.php on line 85 and defined in /home/cs/students/uXXXXXXXX/COS216/Practical 4/includes/models/Database.php on line 40, referer: https://wheatley.cs.up.ac.za/uXXXXXXXX/COS216/Practical%204/includes/views/sign-up.php",19
"[Mon May 25 09:17:02.514822 2020] [:error] [pid 29341] [client 127.0.0.1:44896] PHP Warning:  Missing argument 2 for Database::getUserByEmail(), called in /home/cs/students/uXXXXXXXX/COS216/Practical 4/includes/models/Database.php on line 80 and defined in /home/cs/students/uXXXXXXXX/COS216/Practical 4/includes/models/Database.php on line 58, referer: https://wheatley.cs.up.ac.za/uXXXXXXXX/COS216/Practical%204/includes/views/sign-up.php",19
"[Tue Mar 03 14:07:49.053085 2020] [authz_core:error] [pid 15760] [client 127.0.0.1:42986] AH01631: user u19068752: authorization failure for ""/Practical1/"": ",4
"[Wed Feb 14 01:32:34.482406 2018] [autoindex:error] [pid 28504] [client 127.0.0.1:45404] AH01276: Cannot serve directory /home/cs/students/u17306192/: No matching DirectoryIndex (index.html,index.html.var,index.php,index.phtml) found, and server-generated directory index forbidden by Options directive",0
"[Thu Feb 15 16:04:59.010447 2018] [auth_basic:error] [pid 5255] [client 127.0.0.1:49334] AH01617: user u17306192: authentication failure for ""/"": Password Mismatch",1
[Fri May 04 11:03:24.969998 2018] [:error] [pid 8818] [client 127.0.0.1:49144] script '/home/cs/students/u17306192/pages/fit4/verify.php' not found or unable to stat,10
[Fri May 04 11:11:33.341709 2018] [:error] [pid 9477] [client 127.0.0.1:51172] PHP Warning:  require(db.php): failed to open stream: No such file or directory in /home/cs/students/u17306192/pages/fit4/verify.php on line 5,12
[Fri May 04 11:11:33.341709 2018] [:error] [pid 9477] [client 127.0.0.1:51172] PHP Warning:  require(db.php): failed to open stream: No such file or directory in /home/cs/students/u17306192/pages/fit4/verify.php on line 5,12
"[Fri Feb 08 11:18:06.126604 2019] [:error] [pid 28545] [client 127.0.0.1:51748] PHP Parse error:  syntax error, unexpected '}', expecting end of file in /home/cs/students/u17306192/pages/api.php on line 470, referer: http://wheatley.cs.up.ac.za/u17306192/pages/log.php",3
"[Mon Apr 15 08:02:02.544371 2019] [:error] [pid 29315] [client 127.0.0.1:42768] PHP Catchable fatal error:  Object of class Movie could not be converted to string in /home/cs/students/u17306192/api.php on line 48, referer: https://wheatley.cs.up.ac.za/u17306192/api/",17
"[Mon Apr 15 10:15:59.777844 2019] [:error] [pid 5664] [client 127.0.0.1:43428] PHP Notice:  A session had already been started - ignoring session_start() in /home/cs/students/u17306192/a3/index.php on line 3, referer: https://wheatley.cs.up.ac.za/u17306192/a3/",18
"[Wed Apr 24 13:46:41.250744 2019] [auth_basic:error] [pid 5244] [client 127.0.0.1:42164] AH01617: user u16205457: authentication failure for ""/"": Password Mismatch",1
"[Sat May 09 21:18:33.785497 2020] [:error] [pid 29412] [client 127.0.0.1:46472] PHP Fatal error:  Uncaught Error: Call to undefined function mysqli() in /home/cs/students/u16186258/COS216/practical3/config.php:10\nStack trace:\n#0 /home/cs/students/u16186258/COS216/practical3/header.php(1): include()\n#1 /home/cs/students/u16186258/COS216/practical3/index.php(18): require_once('/home/cs/studen...')\n#2 {main}\n  thrown in /home/cs/students/u16186258/COS216/practical3/config.php on line 10, referer: https://wheatley.cs.up.ac.za/u16186258/COS216/",11
"[Sat May 09 23:53:21.869243 2020] [:error] [pid 14495] [client 127.0.0.1:58024] PHP Warning:  log() expects parameter 1 to be float, string given in /home/cs/students/u16186258/COS216/practical3/validate-signup.php on line 44, referer: https://wheatley.cs.up.ac.za/u16186258/COS216/practical3/signup.php",15
"[Sat May 09 22:34:03.661771 2020] [:error] [pid 6668] [client 127.0.0.1:53298] PHP Warning:  mysqli_connect(): (HY000/1044): Access denied for user 'u16186258'@'%%' to database 'musicbox' in /home/cs/students/u16186258/COS216/practical3/config.php on line 10, referer: https://wheatley.cs.up.ac.za/u16186258/COS216/",2
"[Sat May 09 23:30:00.470624 2020] [:error] [pid 12931] [client 127.0.0.1:57174] PHP Notice:  Use of undefined constant console - assumed 'console' in /home/cs/students/u16186258/COS216/practical3/validate-signup.php on line 44, referer: https://wheatley.cs.up.ac.za/u16186258/COS216/practical3/signup.php",14
[Wed May 13 02:35:04.359249 2020] [:error] [pid 640] [client 127.0.0.1:33312] PHP Notice:  Undefined index: title in /home/cs/students/u16186258/COS216/practical3/api.php on line 7,9
"[Wed May 13 02:39:35.478595 2020] [:error] [pid 778] [client 127.0.0.1:33392] PHP Notice:  Use of undefined constant console - assumed 'console' in /home/cs/students/u16186258/COS216/practical3/validate-signup.php on line 44, referer: https://wheatley.cs.up.ac.za/u16186258/COS216/practical3/signup.php",14
"[Wed Apr 11 13:25:44.810076 2018] [:error] [pid 21438] [client 127.0.0.1:43780] PHP Warning:  mysqli_connect(): (HY000/1045): Access denied for user 'root'@'localhost' (using password: NO) in /home/cs/students/u16220073/COS 221/cos221A3/db.php on line 6, referer: http://wheatley.cs.up.ac.za/u16220073/COS%20221/",2
"[Fri May 04 00:53:40.632074 2018] [:error] [pid 8173] [client 127.0.0.1:48268] PHP Warning:  require_once(dbcon\xef\xac\x81g.php): failed to open stream: No such file or directory in /home/cs/students/u16220073/COS 216'/Assignment4/COS216A4/header.php on line 2, referer: http://wheatley.cs.up.ac.za/u16220073/COS%20216'/Assignment4/",7
"[Fri May 04 01:10:07.555752 2018] [:error] [pid 9561] [client 127.0.0.1:49798] PHP Fatal error:  require_once(): Failed opening required 'dbcon\xef\xac\x81g.php' (include_path='.:/usr/share/php7:/usr/share/php') in /home/cs/students/u16220073/COS 216'/Assignment4/COS216A4/validate-login.php on line 2, referer: http://wheatley.cs.up.ac.za/u16220073/COS%20216'/Assignment4/COS216A4/",6
"[Mon Apr 15 14:22:51.097976 2019] [:error] [pid 30702] [client 127.0.0.1:37056] PHP Notice:  Undefined variable: url in /home/cs/students/u16220073/api.php on line 82, referer: https://wheatley.cs.up.ac.za/api/",8
[Sat May 18 17:34:15.132239 2019] [:error] [pid 25143] [client 127.0.0.1:58158] PHP Notice:  Undefined variable: email in /home/cs/students/u16220073/cos216_2019/practical4/p4/validate-login.php on line 29,8
